UIN,StuName,BirthYear,Gender,Phone,Major
10002,Pamela Dukes,2004,Female,2.849155251,Economics
10003,Lewis Wood,2004,Female,8.344690242,Economics
10004,Shannon Walker,2002,Female,7.979847926,Electrical Eng
10005,Rex Smith,2002,Male,4.24668898,Statistics
10006,Pauline Lavigne,2004,Male,4.149308293,Art
10007,Jennifer Somerville,2004,Female,3.555203317,Mathematics
10008,Robin Reynolds,2005,Female,6.217919638,Computer Science
10009,Ira Derosa,2000,Male,1.48474297,History
10010,Elizabeth Tillman,2002,Female,9.296791295,Engineering
10011,Maria Connor,2005,Male,5.374588499,Statistics
10012,Susan Kuhn,2005,Male,5.734109888,Art
10013,Joshua Briggs,1999,Male,5.8789915,Engineering
10014,John Tucker,1999,Male,2.65458156,Engineering
10015,Barry Grady,2001,Female,1.758623286,Economics
10016,Bud West,2003,Male,7.433572956,Psychology
10017,Joyce Layman,2002,Female,7.721229231,Engineering
10018,Brittney Prince,2000,Female,1.309164798,Mathematics
10019,Tonya Preyer,2003,Female,9.17298025,Electrical Eng
10020,Madeline Santangelo,1999,Female,6.15953858,Physics
10021,Raymond Marvin,2005,Male,4.236757916,Astronomy
10022,William Bogan,2000,Male,8.918324163,History
10023,Ouida Tolan,2004,Female,3.882708708,Electrical Eng
10024,Lana Sanders,2004,Female,8.376621849,Chemistry
10025,Donald Degroot,2004,Male,7.302849276,Engineering
10026,Eric Villareal,2005,Male,8.35434478,Philosophy
10027,Todd Licursi,2000,Female,6.869408399,Astronomy
10028,Rene Jones,2000,Male,8.390211354,Chemistry
10029,George Ramirez,2005,Male,5.33302919,History
10030,Dolores Hughes,2001,Female,7.943054448,Biology
10031,Antione Moon,1999,Male,9.105315766,Mathematics
10032,Frances Greene,2000,Female,6.99034929,Computer Science
10033,Tammy Hines,1999,Male,9.181411162,Biology
10034,Thomas Wahl,2003,Male,4.393682598,Electrical Eng
10035,Haywood Messina,2003,Female,2.300045666,Mathematics
10036,Pamela Warren,2004,Female,8.20958325,Psychology
10037,Ruth Peckham,2002,Female,8.403641928,Economics
10038,Ricky Carter,2005,Male,9.349616221,Psychology
10039,Virginia Boggess,2005,Male,1.312400887,Electrical Eng
10040,Jennie Millender,2000,Female,6.280420914,Mathematics
10041,Pablo Varney,2002,Female,1.24932797,Electrical Eng
10042,Erik Dobkin,2000,Male,2.535946399,Economics
10043,Franklin Carrillo,2003,Male,9.536676185,Chemistry
10044,James Cordero,1999,Male,2.12038648,Psychology
10045,Leslie Martinez,2004,Male,3.123019129,Chemistry
10046,Cynthia Tanner,2001,Male,7.556031538,Chemistry
10047,Mary Eaton,2000,Female,4.384521666,Engineering
10048,William Gookin,2001,Male,1.525736596,Electrical Eng
10049,Nickolas Garcia,2001,Male,2.785809993,Computer Science
10050,Gerald Bocchi,2005,Male,9.142016744,Music
10051,Harold Lawson,2002,Male,7.539536497,Electrical Eng
10052,Joseph Riding,2004,Female,6.670905433,Statistics
10053,Kelly Kingery,2001,Female,9.103185143,Biology
10054,Michel Flecha,2001,Male,6.516019351,Chemistry
10055,Virgil Browder,2002,Male,9.715436521,Philosophy
10056,Jose Devera,2000,Male,4.76700373,Electrical Eng
10057,Stephanie Dang,2005,Male,8.910263201,Psychology
10058,Christina Garcia,1999,Male,5.870728271,Physics
10059,Walter Zackery,2005,Female,1.877608095,Biology
10060,Robert Reed,2005,Male,6.87032705,Biology
10061,Frank Dubberly,2003,Female,2.611023301,Physics
10062,Pamela Dailey,2004,Female,5.308856585,Music
10063,Olive Knox,1999,Female,1.799130965,Chemistry
10064,Jordan Brown,2002,Female,3.163084356,Chemistry
10065,Melvin Hall,1999,Female,3.144075667,Philosophy
10066,Ruthie Gally,2004,Male,3.419264304,Electrical Eng
10067,Ann Dozier,2005,Male,1.924880124,Biology
10068,Cynthia Schulte,2004,Male,6.305865282,Philosophy
10069,Shane Lopez,2005,Male,5.822342085,Chemistry
10070,Vickey Green,2003,Male,3.820415226,Physics
10071,Vanessa Fuller,1999,Female,9.6562,Astronomy
10072,George Robertson,1999,Male,3.208081576,Philosophy
10073,Fred Hopper,2003,Female,3.67719675,Statistics
10074,Robbie Crisp,1999,Male,8.934149109,Physics
10075,Frank Mccoy,2004,Male,3.761811223,Psychology
10076,Anthony Shuler,2005,Female,9.523819408,History
10077,Ann Cook,2003,Male,9.4342415,Engineering
10078,Maria Devine,2005,Male,4.891416923,Mathematics
10079,Johnny Nunley,2000,Female,4.14279035,History
10080,Teresa Tillett,2000,Male,6.343722825,History
10081,Craig Derrick,2002,Male,1.45773161,Statistics
