ProfUIN,ProfName,DepartmentName,Age,Gender
0,Jeff Crider,HIST,25,Female
1,Teresa Robinson,MUS,49,Male
2,Karen Floyd,ECE,49,Female
3,Timothy Farias,MUS,59,Male
4,Shanna Crawford,PHYS,39,Male
5,Justin Amezaga,ENG,37,Female
6,Rosemary Eldredge,MATH,51,Female
7,William Cooper,PSY,60,Male
8,Syble Rothery,PHIL,65,Male
9,Alice Fritcher,BIO,39,Female
10,Dorothy Overturf,ASTR,66,Female
11,Nancy Warren,MATH,50,Female
12,Tom Mcdonald,MATH,57,Female
13,Travis Rogers,ASTR,39,Male
14,Brenda Eagen,ENG,60,Male
15,David Mcdonald,STAT,66,Female
16,Jackie Scott,PSY,67,Male
17,Katina Perry,ECE,25,Female
18,Annette Rios,MUS,26,Male
19,Andre Regis,ASTR,42,Male
20,Rebecca Nev,BIO,38,Male
21,Charles Harper,MATH,30,Female
22,Rosemary Hazzard,STAT,57,Male
23,Bridget Bring,ENG,58,Female
24,Karen Buckner,STAT,30,Male
25,Eduardo Hooper,CHEM,70,Female
26,Alicia Dargie,PHIL,37,Male
27,Joseph Mikkelsen,CHEM,69,Female
28,Pamela Semons,PSY,51,Female
29,Vincent Taylor,ENG,52,Male
30,Donald Cockrell,CHEM,35,Female
31,John Orleans,PHIL,62,Male
32,Libby Regan,PHIL,28,Male
33,Jack Smith,BIO,59,Female
34,Ignacio Sipp,ENG,28,Female
35,Brandon Ortez,PHIL,34,Female
36,David Moeller,ECE,36,Female
37,Rita Dyar,PHIL,46,Female
38,Patricia Phillips,ENG,43,Female
39,Andrew Thornhill,ART,33,Male
40,Dana Marsh,PHIL,49,Female
41,Roy Matthews,CSCE,28,Female
42,George Hubbell,CHEM,32,Female
43,Tiffany Dorsey,HIST,70,Male
44,Antoinette Montes,ECE,35,Male
45,Victoria Perry,MUS,52,Female
46,Beverly Lofton,MATH,51,Female
47,Paula Morrow,PHYS,70,Male
48,Kevin Keith,CSCE,57,Male
49,Trinh Payton,CHEM,34,Female
50,Anna Harnois,PHYS,35,Male
51,Catherine Martinez,PHIL,49,Female
52,Nicholas Ownby,ART,33,Female
53,Walter Anderson,ECON,31,Male
54,Eric Miller,ASTR,33,Female
55,Stephanie Ducharme,PHIL,49,Male
56,Steve Simon,PSY,37,Male
57,Michelle Mcnutt,MATH,26,Female
58,John Zamora,BIO,47,Male
59,Matthew Mcmillan,PHYS,33,Female
60,Tammy Schneider,PHIL,42,Female
61,James Thal,PHYS,63,Female
62,Robert Klan,ENG,41,Female
63,Harold Small,ECE,69,Male
64,Lottie Macina,ENG,38,Male
65,Richard Poston,MATH,59,Female
66,Pamela Hively,MUS,39,Male
67,Judith Wilds,BIO,63,Female
68,Steven Sneeden,ART,30,Female
69,Harold Johnson,PHYS,55,Male
70,Thomas Moore,BIO,26,Male
71,Annette Goris,CHEM,25,Male
72,Irma Perry,ECE,38,Female
73,Krista Mccord,PHIL,48,Male
74,Janet Cunningham,CSCE,62,Female
75,Winifred Mcintosh,PHYS,38,Male
76,Grace Harteau,MATH,63,Female
77,Katherine Alex,PSY,53,Female
78,William Benedetto,HIST,44,Male
79,Paul Graham,PHIL,62,Male
80,Glenn Brunner,ENG,46,Female
81,Julie Morris,PHIL,38,Female
82,Monica Hunt,ASTR,41,Female
83,Mario Watkins,ECE,65,Male
84,Mary Olson,PSY,62,Female
85,Angela Frye,MATH,25,Male
86,Carol Smith,PHYS,61,Female
87,Teresa Fritz,CSCE,38,Male
88,David Mcalister,ASTR,54,Female
89,Steven Cook,ASTR,33,Male
90,Francisco Halyk,ECE,28,Male
91,Rachel Ortega,ART,66,Male
92,Joshua Naumann,STAT,42,Male
93,Lynne Johnson,CSCE,61,Female
94,Bobby Owens,ASTR,56,Female
95,Jose Haine,ASTR,60,Female
96,Gary Sarette,ASTR,37,Female
97,Anthony Mcbride,BIO,51,Female
98,Orlando Holloway,MUS,68,Female
99,Darrell Toussaint,MUS,49,Male
100,Gail Horgan,HIST,61,Female
101,Joe Hall,PHYS,62,Female
102,Michael Aquilina,PHYS,37,Male
103,Patricia Fortunato,PHIL,59,Male
104,Kathleen Thompson,CHEM,45,Male
105,Walter Welch,PHIL,60,Male
106,Lisa Cantave,CHEM,36,Female
107,Linda Ewert,STAT,44,Female
108,Sophia Santana,CSCE,69,Male
109,Ricky Peters,ART,63,Male
110,Ava Barr,MUS,68,Male
111,William Todd,CSCE,39,Female
112,Maria Cook,ECE,29,Male
113,Beulah Berry,ECON,31,Male
114,Sheilah Schmid,ASTR,44,Female
115,Celia Ferguson,CSCE,28,Female
116,Douglas Mclaughlin,HIST,48,Female
117,Stephanie Mcdonald,MATH,41,Female
118,Robert Sanchez,CSCE,45,Male
119,Coleen Litton,ASTR,66,Male
120,Jennifer Hunt,ECON,41,Male
121,Steven Emmick,CHEM,70,Male
122,Diann Nailer,MATH,60,Female
123,Dolores Osborn,PHYS,67,Female
124,James Baldwin,STAT,33,Male
125,Stephen Espinoza,ART,43,Female
126,Guy Yount,ENG,69,Female
127,Linda Marks,CSCE,44,Male
128,Ilda Chapin,BIO,60,Female
129,Thomas Anderson,BIO,32,Male
130,Salvador Leyva,ART,61,Male
131,Dolores Roney,CHEM,28,Female
132,Francisca Scarbrough,ENG,62,Male
133,Eddie Kelly,CSCE,70,Male
134,Jimmie Saeler,ART,56,Male
135,Arthur Sartin,CHEM,63,Male
136,David Kelly,ASTR,47,Male
137,Herbert Bohannon,BIO,65,Male
138,Luz Kelleher,MATH,35,Female
139,Josue Restrepo,STAT,70,Female
140,Jesus Childress,BIO,39,Male
141,Allen Butcher,PHYS,53,Female
142,Chelsea Foster,MATH,44,Female
143,Ebony Bailey,ENG,37,Male
144,Louis Williams,ECON,45,Female
145,Chad Hughes,PHIL,41,Female
146,John Roldan,ENG,43,Female
147,Barbara Bianchi,MUS,26,Female
148,Sergio Crim,PSY,43,Female
149,Richard Lichtenberg,ENG,48,Male
150,Jack Corbett,CSCE,32,Female
151,Hattie Roe,ASTR,36,Female
152,Christal Maples,ENG,54,Male
153,Bettye Thompson,PHYS,64,Male
154,Ester Tafolla,MUS,46,Female
155,William Rodriguez,CSCE,41,Female
156,Mark Peterson,CHEM,53,Female
157,Carol Sims,ENG,62,Male
158,Robert Millet,STAT,63,Female
159,Terry Tucker,ECE,49,Female
160,Susan Lasley,ART,52,Female
161,Jeffrey Triana,ECE,32,Male
162,Larry Drabant,CSCE,65,Female
163,Ashley Kelly,HIST,43,Male
164,Violet Livingston,ECE,61,Female
165,Donna Fazzone,ECON,67,Male
166,Wilford Acker,BIO,61,Female
167,Tony Moore,STAT,60,Female
168,Annie Arceneaux,PSY,29,Female
169,Margret Hammer,PHIL,32,Female
170,Emma Minihane,HIST,25,Female
171,Otto Petit,ECE,66,Male
172,Clay Clark,ECE,54,Male
173,Freddie Green,ASTR,38,Female
174,Gwendolyn Courtney,BIO,52,Male
175,Christine Dykstra,MUS,64,Female
176,Robert Ross,PHIL,57,Female
177,Myrna Patterson,STAT,55,Female
178,Robert Hawkins,ECON,67,Female
179,Katherine Kaiser,BIO,31,Male
180,Alberto Crosley,ART,35,Female
181,Jean Marler,PSY,47,Male
182,Whitney Darrow,ECON,44,Male
183,Jay Rene,ECON,58,Male
184,Lillian Limerick,MUS,48,Female
185,Paul Wallace,ENG,58,Male
186,Bethany Vazquez,ASTR,61,Female
187,Belva Smith,ECE,47,Male
188,Rita Alfonso,ECE,28,Female
189,Allison Calvert,BIO,32,Female
190,Javier Gilreath,ASTR,26,Female
191,Michael Augustine,ECON,41,Female
192,Jose Settles,PSY,53,Female
193,Joseph Penley,ART,56,Female
194,Doyle Mcalister,ASTR,58,Female
195,Linda Gibson,CSCE,54,Female
196,Dallas Williams,ECE,36,Female
197,Daniel Crowley,CSCE,37,Male
198,Marcela Aikens,MUS,27,Female
199,Larry Dailey,PHYS,47,Female
200,Daniel Breuer,STAT,37,Female
201,Ron Stonge,PHYS,39,Male
202,Rita Garcia,MATH,28,Male
203,Joseph Marshall,MATH,49,Female
204,Cynthia Saunders,ENG,28,Female
205,Deanna Waters,HIST,50,Male
206,Brenda Rose,PHYS,60,Male
207,Timothy Benedict,PHIL,28,Male
208,Joshua Kelly,STAT,41,Male
209,Autumn Schriner,ART,42,Male
210,David Rone,STAT,42,Female
211,Jeffrey Caldwell,PHIL,31,Male
212,Craig Vera,CHEM,34,Female
213,Sandra Vaughn,PHIL,64,Male
214,Adam Reynolds,HIST,56,Male
215,Darlene Calvillo,ART,57,Female
216,Maria Whitaker,HIST,38,Female
217,Joseph Smith,HIST,25,Male
218,Robert Clarke,MATH,56,Male
219,Jane Patton,ART,43,Male
220,Christine Lindholm,ECON,62,Female
221,Lolita Garcia,BIO,60,Male
222,Shu Browning,STAT,43,Male
223,Rhonda Martin,STAT,26,Male
224,Todd Phillips,ENG,38,Female
225,Carissa Pope,MATH,68,Male
226,Margaret Trussell,HIST,29,Female
227,Gene King,ECON,53,Female
228,Helen Sharpe,ECON,61,Female
229,Betty Hoover,ECON,33,Female
230,Denice Ovalle,HIST,39,Female
231,Rosella Hanson,ENG,64,Female
232,Donna Moreno,ECON,66,Male
233,Willie Hambrick,CHEM,61,Male
234,Michael Dunning,STAT,38,Female
235,Robin Brown,MUS,29,Male
236,Ray Johnson,ECON,41,Male
237,Paula Mcnally,ECE,46,Male
238,Debra Powell,PHIL,63,Male
239,Bennie Burnside,CSCE,53,Male
240,Frances Downs,STAT,69,Male
241,Jose Rollins,MATH,48,Female
242,Rene Smith,MUS,41,Female
243,Amina Alvarez,STAT,66,Male
244,Donald Rodriguez,CSCE,68,Female
245,Marilyn Lewis,MATH,39,Male
246,Lois Lindell,ECE,47,Female
247,Dennis Molinar,ART,27,Female
248,Barry Driskill,STAT,31,Female
249,Anthony Crowley,MATH,56,Female
250,Douglas Ferland,PHIL,50,Female
251,Robert Duncan,BIO,62,Male
252,Kimberly Main,PHYS,38,Female
253,Timothy Hildebrand,CHEM,30,Male
254,Catherine Frias,ART,35,Female
255,Chang Seawell,HIST,27,Female
256,Margaret Holt,HIST,60,Female
257,Joshua Winebarger,PSY,42,Female
258,Curt Winkles,ECON,54,Male
259,Jesus Williams,MUS,49,Female
260,William Dale,PHIL,67,Female
261,Melanie Martin,CHEM,41,Female
262,Antonio Yancey,ENG,64,Female
263,Jeffery Barbre,ECE,31,Male
264,Eric Perry,CSCE,57,Female
265,Nettie Butterfield,STAT,25,Female
266,Mable Taylor,ART,58,Male
267,Sandra Resendez,BIO,46,Male
268,Luis Dent,CHEM,41,Female
269,Jean Gardiner,MATH,30,Female
270,Mervin Harris,BIO,56,Male
271,Lindsay Kingore,ECON,58,Female
272,Kenneth Little,PSY,70,Female
273,Antone Nguyen,ENG,26,Male
274,Michele Norman,ART,39,Female
275,Ashley Canon,CHEM,32,Male
276,Mary Fruman,ASTR,59,Male
277,Suzanne Twine,STAT,50,Male
278,Sean Bryant,ECE,65,Female
279,Timothy Hunt,ART,42,Male
280,Sylvia Moody,STAT,30,Male
281,Karen Vargason,PSY,69,Male
282,Patricia Mejia,CHEM,60,Female
283,Charles Crews,ECE,46,Male
284,Anthony Maresca,HIST,36,Male
285,Anthony Butler,MUS,65,Female
286,Kristine Chestnut,ECON,35,Female
287,Gregory Coburn,MUS,45,Female
